,Woonplaatsen,Provincie,Landsdeel,Gemeente,Lattitude,Longitude,Population,Coordinates
1984,IJhorst,Overijssel,Oost-Nederland           ,Staphorst                          ,52.66666666666666,6.283333333333332,1500,"['52° 40′ NB, 6° 17′ OL']"
1985,IJsselham,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,5.966666666666668,85,"['52° 49′ NB, 5° 58′ OL']"
1986,IJsselmuiden,Overijssel,Oost-Nederland           ,Kampen                             ,52.56666666666667,5.933333333333334,12360,"['52° 34′ NB, 5° 56′ OL']"
1987,Kalenberg,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.78333333333333,5.95,225,"['52° 47′ NB, 5° 57′ OL']"
1988,Kallenkote,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.78333333333333,6.166666666666668,305,"['52° 47′ NB, 6° 10′ OL']"
1989,Kampen,Overijssel,Oost-Nederland           ,Kampen                             ,52.56666666666667,5.9,36400,"['52° 34′ NB, 5° 54′ OL']"
1990,Kamperveen,Overijssel,Oost-Nederland           ,Kampen                             ,52.5,5.933333333333334,875,"['52° 30′ NB, 5° 56′ OL']"
1991,Kloosterhaar,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.5,6.666666666666668,1490,"['52° 30′ NB, 6° 40′ OL']"
1993,De Krim,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.65,6.616666666666667,2235,"52° 39′ NB, 6° 37′ OL"
1994,Kuinre,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.78333333333333,5.85,925,"['52° 47′ NB, 5° 51′ OL']"
1995,Laag Zuthem,Overijssel,Oost-Nederland           ,Raalte                             ,52.46666666666667,6.166666666666667,555,"52° 28′ NB, 6° 10′ OL"
1996,Langeveen,Overijssel,Oost-Nederland           ,Tubbergen                          ,52.46666666666667,6.716666666666668,1275,"['52° 28′ NB, 6° 43′ OL']"
1997,Lattrop-Breklenkamp,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.43333333333333,6.983333333333333,990,"52° 26′ NB, 6° 59′ OL"
1998,Lemele,Overijssel,Oost-Nederland           ,Ommen                              ,52.45,6.416666666666668,1325,"['52° 27′ NB, 6° 25′ OL']"
1999,Lemelerveld,Overijssel,Oost-Nederland           ,Dalfsen                            ,52.45,6.333333333333332,4685,"['52° 27′ NB, 6° 20′ OL']"
2000,Lettele,Overijssel,Oost-Nederland           ,Deventer                           ,52.28333333333333,6.2666666666666675,1695,"['52° 17′ NB, 6° 16′ OL']"
2001,Lierderholthuis,Overijssel,Oost-Nederland           ,Raalte                             ,52.43333333333333,6.2,485,"['52° 26′ NB, 6° 12′ OL']"
2002,Loozen,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.6,6.666666666666668,185,"['52° 36′ NB, 6° 40′ OL']"
2003,Losser,Overijssel,Oost-Nederland           ,Losser                             ,52.26666666666666,7.0,13205,"['52° 16′ NB, 7° 0′ OL']"
2004,de Lutte,Overijssel,Oost-Nederland           ,Losser                             ,52.31666666666667,7.0,3865,"52° 19′ NB, 6° 60′ OL"
2005,Lutten,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.61666666666667,6.566666666666666,2025,"52° 37′ NB, 6° 34′ OL"
2006,Luttenberg,Overijssel,Oost-Nederland           ,Raalte                             ,52.4,6.366666666666666,2275,"['52° 24′ NB, 6° 22′ OL']"
2007,Mander,Overijssel,Oost-Nederland           ,Tubbergen                          ,52.45,6.816666666666666,385,"['52° 27′ NB, 6° 49′ OL']"
2008,Manderveen,Overijssel,Oost-Nederland           ,Tubbergen                          ,52.45,6.783333333333332,620,"['52° 27′ NB, 6° 47′ OL']"
2009,Mariaparochie,Overijssel,Oost-Nederland           ,Tubbergen                          ,52.38333333333333,6.7,245,"['52° 23′ NB, 6° 42′ OL']"
2010,Mariënberg,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.516666666666666,6.566666666666666,925,"52° 31′ NB, 6° 34′ OL"
2011,Mariënheem,Overijssel,Oost-Nederland           ,Raalte                             ,52.38333333333333,6.316666666666666,1465,"52° 23′ NB, 6° 19′ OL"
2012,Marijenkampen,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,6.05,165,"['52° 49′ NB, 6° 3′ OL']"
2013,Markelo,Overijssel,Oost-Nederland           ,Hof van Twente                     ,52.233333333333334,6.5,7285,"52° 14′ NB, 6° 30′ OL"
2014,Marle,Overijssel,Oost-Nederland           ,Olst-Wijhe                         ,52.41666666666666,6.133333333333334,70,"['52° 25′ NB, 6° 8′ OL']"
2015,Mastenbroek,Overijssel,Oost-Nederland           ,Zwartewaterland                    ,52.56666666666667,6.0166666666666675,165,"['52° 34′ NB, 6° 1′ OL']"
2017,Nederland,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.75,5.966666666666668,20,"['52° 45′ NB, 5° 58′ OL']"
2018,Nieuw Heeten,Overijssel,Oost-Nederland           ,Raalte                             ,52.31666666666667,6.35,1145,"52° 19′ NB, 6° 21′ OL"
2019,Nieuwleusen,Overijssel,Oost-Nederland           ,Dalfsen                            ,52.58333333333334,6.283333333333332,9190,"['52° 35′ NB, 6° 17′ OL']"
2020,Nijverdal,Overijssel,Oost-Nederland           ,Hellendoorn                        ,52.36666666666667,6.466666666666668,24745,"['52° 22′ NB, 6° 28′ OL']"
2021,Notter,Overijssel,Oost-Nederland           ,Wierden                            ,52.33333333333334,6.5166666666666675,580,"['52° 20′ NB, 6° 31′ OL']"
2022,Nutter,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.43333333333333,6.883333333333333,180,"['52° 26′ NB, 6° 53′ OL']"
2023,Okkenbroek,Overijssel,Oost-Nederland           ,Deventer                           ,52.3,6.316666666666666,295,"['52° 18′ NB, 6° 19′ OL']"
2024,Oldemarkt,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,5.966666666666668,2590,"['52° 49′ NB, 5° 58′ OL']"
2025,Oldenzaal,Overijssel,Oost-Nederland           ,Oldenzaal                          ,52.3,6.916666666666668,31792,"['52° 18′ NB, 6° 55′ OL']"
2026,Olst,Overijssel,Oost-Nederland           ,Olst-Wijhe                         ,52.33333333333334,6.116666666666666,8205,"['52° 20′ NB, 6° 7′ OL']"
2027,Ommen,Overijssel,Oost-Nederland           ,Ommen                              ,52.51666666666666,6.416666666666668,12495,"['52° 31′ NB, 6° 25′ OL']"
2028,Onna,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.76666666666666,6.15,320,"['52° 46′ NB, 6° 9′ OL']"
2029,Ootmarsum,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.4,6.9,4480,"['52° 24′ NB, 6° 54′ OL']"
2030,Ossenzijl,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,5.916666666666668,540,"['52° 49′ NB, 5° 55′ OL']"
2031,Oud Ootmarsum,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.416666666666664,6.916666666666667,340,"52° 25′ NB, 6° 55′ OL"
2032,Overdinkel,Overijssel,Oost-Nederland           ,Losser                             ,52.23333333333333,7.033333333333332,4110,"['52° 14′ NB, 7° 2′ OL']"
2033,Paasloo,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,6.0166666666666675,405,"['52° 49′ NB, 6° 1′ OL']"
2034,De Pol,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,6.083333333333333,195,"52° 49′ NB, 6° 5′ OL"
2035,Punthorst,Overijssel,Oost-Nederland           ,Staphorst                          ,52.61666666666667,6.2666666666666675,935,"['52° 37′ NB, 6° 16′ OL']"
2036,Raalte,Overijssel,Oost-Nederland           ,Raalte                             ,52.38333333333333,6.2666666666666675,19665,"['52° 23′ NB, 6° 16′ OL']"
2037,Radewijk,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.56666666666667,6.716666666666668,625,"['52° 34′ NB, 6° 43′ OL']"
2038,Reutum,Overijssel,Oost-Nederland           ,Tubbergen                          ,52.38333333333333,6.85,1215,"['52° 23′ NB, 6° 51′ OL']"
2039,Rheeze,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.55,6.583333333333332,290,"['52° 33′ NB, 6° 35′ OL']"
2040,Rheezerveen,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.56666666666667,6.5166666666666675,610,"['52° 34′ NB, 6° 31′ OL']"
2041,Rijssen,Overijssel,Oost-Nederland           ,Rijssen-Holten                     ,52.31666666666667,6.5166666666666675,28885,"['52° 19′ NB, 6° 31′ OL']"
2042,Rossum,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.35,6.916666666666668,2295,"['52° 21′ NB, 6° 55′ OL']"
2043,Rouveen,Overijssel,Oost-Nederland           ,Staphorst                          ,52.61666666666667,6.183333333333334,4020,"['52° 37′ NB, 6° 11′ OL']"
2044,Saasveld,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.33333333333334,6.8,1675,"['52° 20′ NB, 6° 48′ OL']"
2045,Schalkhaar,Overijssel,Oost-Nederland           ,Deventer                           ,52.26666666666666,6.2,5680,"['52° 16′ NB, 6° 12′ OL']"
2046,Scheerwolde,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.75,6.0166666666666675,485,"['52° 45′ NB, 6° 1′ OL']"
2047,Schuinesloot,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.65,6.55,965,"['52° 39′ NB, 6° 33′ OL']"
2048,Sibculo,Overijssel,Oost-Nederland           ,Twenterand                         ,52.48333333333333,6.633333333333333,1440,"['52° 29′ NB, 6° 38′ OL']"
2050,Sint Jansklooster,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.68333333333333,6.0,2455,"52° 41′ NB, 6° 0′ OL"
2051,Slagharen,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.63333333333333,6.55,3080,"['52° 38′ NB, 6° 33′ OL']"
2052,Staphorst,Overijssel,Oost-Nederland           ,Staphorst                          ,52.65,6.216666666666668,10540,"['52° 39′ NB, 6° 13′ OL']"
2053,Steenwijk,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.78333333333333,6.133333333333334,17155,"['52° 47′ NB, 6° 8′ OL']"
2054,Steenwijkerwold,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.8,6.066666666666666,1900,"['52° 48′ NB, 6° 4′ OL']"
2055,Stegeren,Overijssel,Oost-Nederland           ,Ommen                              ,52.53333333333333,6.5,500,"['52° 32′ NB, 6° 30′ OL']"
2056,Tilligte,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.4,6.95,745,"['52° 24′ NB, 6° 57′ OL']"
2057,Tubbergen,Overijssel,Oost-Nederland           ,Tubbergen                          ,52.4,6.7666666666666675,5770,"['52° 24′ NB, 6° 46′ OL']"
2058,Tuk,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.8,6.1,2070,"['52° 48′ NB, 6° 6′ OL']"
2059,Vasse,Overijssel,Oost-Nederland           ,Tubbergen                          ,52.43333333333333,6.833333333333332,980,"['52° 26′ NB, 6° 50′ OL']"
2060,Den Velde,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.6,6.683333333333334,190,"52° 36′ NB, 6° 41′ OL"
2061,Venebrugge,Overijssel,Oost-Nederland           ,Hardenberg                         ,52.56666666666667,6.666666666666668,110,"['52° 34′ NB, 6° 40′ OL']"
2062,Vilsteren,Overijssel,Oost-Nederland           ,Ommen                              ,52.51666666666666,6.35,350,"['52° 31′ NB, 6° 21′ OL']"
2063,Vinkenbuurt,Overijssel,Oost-Nederland           ,Ommen                              ,52.58333333333334,6.35,415,"['52° 35′ NB, 6° 21′ OL']"
2064,Vollenhove,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.68333333333333,5.95,4240,"['52° 41′ NB, 5° 57′ OL']"
2065,Vriezenveen,Overijssel,Oost-Nederland           ,Twenterand                         ,52.41666666666666,6.633333333333333,13895,"['52° 25′ NB, 6° 38′ OL']"
2066,Vroomshoop,Overijssel,Oost-Nederland           ,Twenterand                         ,52.46666666666667,6.566666666666666,8730,"['52° 28′ NB, 6° 34′ OL']"
2067,Wanneperveen,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.7,6.116666666666666,1710,"['52° 42′ NB, 6° 7′ OL']"
2068,Weerselo,Overijssel,Oost-Nederland           ,Dinkelland                         ,52.35,6.85,3000,"['52° 21′ NB, 6° 51′ OL']"
2069,Welsum,Overijssel,Oost-Nederland           ,Olst-Wijhe                         ,52.333333333333336,6.1,615,"52° 20′ NB, 6° 6′ OL"
2070,Wesepe,Overijssel,Oost-Nederland           ,Olst-Wijhe                         ,52.33333333333334,6.216666666666668,1175,"['52° 20′ NB, 6° 13′ OL']"
2071,Westerhaar-Vriezenveensewijk,Overijssel,Oost-Nederland           ,Twenterand                         ,52.46666666666667,6.616666666666667,4715,"['52° 28′ NB, 6° 37′ OL']"
2072,Wetering,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.75,6.0,175,"['52° 45′ NB, 5° 60′ OL']"
2073,Wierden,Overijssel,Oost-Nederland           ,Wierden                            ,52.35,6.583333333333332,24474,"['52° 21′ NB, 6° 35′ OL']"
2074,Wijhe,Overijssel,Oost-Nederland           ,Olst-Wijhe                         ,52.38333333333333,6.133333333333334,8025,"['52° 23′ NB, 6° 8′ OL']"
2075,Willemsoord,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,6.066666666666666,855,"['52° 49′ NB, 6° 4′ OL']"
2076,Wilsum,Overijssel,Oost-Nederland           ,Kampen                             ,52.53333333333333,5.966666666666668,880,"['52° 32′ NB, 5° 58′ OL']"
2077,Witharen,Overijssel,Oost-Nederland           ,Ommen                              ,52.56666666666667,6.4,595,"['52° 34′ NB, 6° 24′ OL']"
2078,Witte Paarden,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.81666666666667,6.083333333333333,200,"52° 49′ NB, 6° 5′ OL"
2079,Zalk,Overijssel,Oost-Nederland           ,Kampen                             ,52.51666666666666,6.0166666666666675,750,"['52° 31′ NB, 6° 1′ OL']"
2080,Zenderen,Overijssel,Oost-Nederland           ,Borne                              ,52.31666666666667,6.716666666666668,1320,"['52° 19′ NB, 6° 43′ OL']"
2081,Zuidveen,Overijssel,Oost-Nederland           ,Steenwijkerland                    ,52.78333333333333,6.116666666666666,615,"['52° 47′ NB, 6° 7′ OL']"
2082,Zuna,Overijssel,Oost-Nederland           ,Wierden                            ,52.33333333333334,6.5166666666666675,335,"['52° 20′ NB, 6° 31′ OL']"
2083,Zwartsluis,Overijssel,Oost-Nederland           ,Zwartewaterland                    ,52.65,6.066666666666666,4855,"['52° 39′ NB, 6° 4′ OL']"
2084,Zwolle,Overijssel,Oost-Nederland           ,Zwolle                             ,52.51666666666666,6.083333333333332,129213,"['52° 31′ NB, 06° 5′ OL']"
2085,Abcoude,Utrecht,West-Nederland           ,De Ronde Venen                     ,52.266666666666666,4.966666666666667,7945,"52° 16′ NB, 4° 58′ OL"
2086,Achterveld,Utrecht,West-Nederland           ,Leusden                            ,52.13333333333333,5.5,2535,"52° 8′ NB, 5° 30′ OL"
2087,Ameide,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.95,4.966666666666667,2990,"51° 57′ NB, 4° 58′ OL"
2088,Amerongen,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.0,5.466666666666667,5380,"52° 0′ NB, 5° 28′ OL"
2089,Amersfoort,Utrecht,West-Nederland           ,Amersfoort                         ,52.15,5.383333333333334,157521,"52° 9′ NB, 5° 23′ OL"
2090,Amstelhoek,Utrecht,West-Nederland           ,De Ronde Venen                     ,52.233333333333334,4.833333333333333,1000,"52° 14′ NB, 4° 50′ OL"
2091,Austerlitz,Utrecht,West-Nederland           ,Zeist                              ,52.083333333333336,5.316666666666666,1475,"52° 5′ NB, 5° 19′ OL"
2092,Baambrugge,Utrecht,West-Nederland           ,De Ronde Venen                     ,52.25,4.983333333333333,1420,"52° 15′ NB, 4° 59′ OL"
2093,Baarn,Utrecht,West-Nederland           ,Baarn                              ,52.21666666666667,5.3,24823,"52° 13′ NB, 5° 18′ OL"
2094,Benschop,Utrecht,West-Nederland           ,Lopik                              ,52.0,4.983333333333333,3655,"52° 0′ NB, 4° 59′ OL"
2095,De Bilt,Utrecht,West-Nederland           ,De Bilt                            ,52.11666666666667,5.183333333333334,108000,"52° 7′ NB, 5° 11′ OL"
2096,Bilthoven,Utrecht,West-Nederland           ,De Bilt                            ,52.13333333333333,5.2,22540,"52° 8′ NB, 5° 12′ OL"
2097,Bosch en Duin,Utrecht,West-Nederland           ,Zeist                              ,52.11666666666667,5.233333333333333,1680,"52° 7′ NB, 5° 14′ OL"
2098,Breukelen,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.166666666666664,5.0,10695,"52° 10′ NB, 4° 60′ OL"
2099,Bunnik,Utrecht,West-Nederland           ,Bunnik                             ,52.06666666666667,5.2,6965,"52° 4′ NB, 5° 12′ OL"
2100,Bunschoten-Spakenburg,Utrecht,West-Nederland           ,Bunschoten                         ,52.25,5.366666666666666,21930,"52° 15′ NB, 5° 22′ OL"
2101,Cothen,Utrecht,West-Nederland           ,Wijk bij Duurstede                 ,52.0,5.316666666666666,3215,"51° 60′ NB, 5° 19′ OL"
2102,Den Dolder,Utrecht,West-Nederland           ,Zeist                              ,52.1,5.233333333333333,4450,"52° 6′ NB, 5° 14′ OL"
2103,Doorn,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.03333333333333,5.35,10215,"52° 2′ NB, 5° 21′ OL"
2104,Driebergen-Rijsenburg,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.05,5.283333333333333,18840,"52° 3′ NB, 5° 17′ OL"
2105,Eemdijk,Utrecht,West-Nederland           ,Bunschoten                         ,52.25,5.333333333333333,835,"52° 15′ NB, 5° 20′ OL"
2106,Eemnes,Utrecht,West-Nederland           ,Eemnes                             ,52.25388888888889,5.256944444444445,9323,"52°15'14""NB, 5°15'25""OL"
2107,Elst,Utrecht,West-Nederland           ,Rhenen                             ,51.983333333333334,5.5,4565,"51° 59′ NB, 5° 30′ OL"
2108,Everdingen,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.96666666666667,5.15,1215,"51° 58′ NB, 5° 9′ OL"
2109,'t Goy,Utrecht,West-Nederland           ,Houten                             ,52.0,5.216666666666667,605,"52° 0′ NB, 5° 13′ OL"
2110,Groenekan,Utrecht,West-Nederland           ,De Bilt                            ,52.11666666666667,5.15,1870,"52° 7′ NB, 5° 9′ OL"
2111,Haarzuilens,Utrecht,West-Nederland           ,Utrecht                            ,52.11666666666667,5.0,540,"52° 7′ NB, 4° 60′ OL"
2112,Hagestein,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.983333333333334,5.116666666666666,1240,"51° 59′ NB, 5° 7′ OL"
2113,Harmelen,Utrecht,West-Nederland           ,Woerden                            ,52.083333333333336,4.966666666666667,8170,"52° 5′ NB, 4° 58′ OL"
2114,Hei- en Boeicop,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.95,5.083333333333333,980,"51° 57′ NB, 5° 5′ OL"
2115,Hekendorp,Utrecht,West-Nederland           ,Oudewater                          ,52.016666666666666,4.816666666666666,715,"52° 1′ NB, 4° 49′ OL"
2116,de Hoef,Utrecht,West-Nederland           ,De Ronde Venen                     ,52.21666666666667,4.816666666666666,875,"52° 13′ NB, 4° 49′ OL"
2117,Hoef en Haag,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.983333333333334,5.116666666666666,815,"51° 59′ NB, 5° 7′ OL"
2118,Hollandsche Rading,Utrecht,West-Nederland           ,De Bilt                            ,52.18333333333333,5.183333333333334,1550,"52° 11′ NB, 5° 11′ OL"
2119,Hoogland,Utrecht,West-Nederland           ,Amersfoort                         ,52.18333333333333,5.366666666666666,10335,"52° 11′ NB, 5° 22′ OL"
2120,Hooglanderveen,Utrecht,West-Nederland           ,Amersfoort                         ,52.18333333333333,5.433333333333334,4830,"52° 11′ NB, 5° 26′ OL"
2121,Houten,Utrecht,West-Nederland           ,Houten                             ,52.03333333333333,5.166666666666667,50290,"52° 2′ NB, 5° 10′ OL"
2122,Huis ter Heide,Utrecht,West-Nederland           ,Zeist                              ,52.11666666666667,5.25,2915,"52° 7′ NB, 5° 15′ OL"
2123,IJsselstein,Utrecht,West-Nederland           ,IJsselstein                        ,52.016666666666666,5.05,33851,"52° 1′ NB, 5° 3′ OL"
2124,Jaarsveld,Utrecht,West-Nederland           ,Lopik                              ,51.96666666666667,4.983333333333333,295,"51° 58′ NB, 4° 59′ OL"
2125,Kamerik,Utrecht,West-Nederland           ,Woerden                            ,52.11666666666667,4.9,3870,"52° 7′ NB, 4° 54′ OL"
2126,Kedichem,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.86666666666667,5.05,1075,"51° 52′ NB, 5° 3′ OL"
2127,Kockengen,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.15,4.95,3300,"52° 9′ NB, 4° 57′ OL"
2128,Lage Vuursche,Utrecht,West-Nederland           ,Baarn                              ,52.18333333333333,5.216666666666667,285,"52° 11′ NB, 5° 13′ OL"
2129,Langbroek,Utrecht,West-Nederland           ,Wijk bij Duurstede                 ,52.016666666666666,5.333333333333333,2365,"52° 1′ NB, 5° 20′ OL"
2130,Leerbroek,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.916666666666664,5.05,1625,"51° 55′ NB, 5° 3′ OL"
2131,Leerdam,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.9,5.083333333333333,18520,"51° 54′ NB, 5° 5′ OL"
2132,Leersum,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.016666666666666,5.433333333333334,7575,"52° 1′ NB, 5° 26′ OL"
2133,Leusden,Utrecht,West-Nederland           ,Leusden                            ,52.13333333333333,5.416666666666667,30486,"52° 8′ NB, 05° 25′ OL"
2134,Lexmond,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.96666666666667,5.033333333333333,2780,"51° 58′ NB, 5° 2′ OL"
2135,Linschoten,Utrecht,West-Nederland           ,Montfoort                          ,52.06666666666667,4.916666666666667,4030,"52° 4′ NB, 4° 55′ OL"
2136,Loenen aan de Vecht,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.21666666666667,5.016666666666667,4445,"52° 13′ NB, 5° 1′ OL"
2137,Loenersloot,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.233333333333334,5.0,480,"52° 14′ NB, 5° 0′ OL"
2138,Lopik,Utrecht,West-Nederland           ,Lopik                              ,51.96666666666667,4.95,8105,"51° 58′ NB, 4° 57′ OL"
2139,Lopikerkapel,Utrecht,West-Nederland           ,Lopik                              ,52.0,5.05,1130,"51° 60′ NB, 5° 3′ OL"
2140,Maarn,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.06666666666667,5.366666666666666,4770,"52° 4′ NB, 5° 22′ OL"
2141,Maarsbergen,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.05,5.4,1165,"52° 3′ NB, 5° 24′ OL"
2142,Maarssen,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.13333333333333,5.033333333333333,38510,"52° 8′ NB, 5° 2′ OL"
2143,Maartensdijk,Utrecht,West-Nederland           ,De Bilt                            ,52.15,5.183333333333334,4890,"52° 9′ NB, 5° 11′ OL"
2144,Meerkerk,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.916666666666664,4.983333333333333,3855,"51° 55′ NB, 4° 59′ OL"
2145,De Meern,Utrecht,West-Nederland           ,Utrecht                            ,52.083333333333336,5.033333333333333,21764,"52° 5′ NB, 5° 2′ OL"
2146,Mijdrecht,Utrecht,West-Nederland           ,De Ronde Venen                     ,52.2,4.866666666666667,16005,"52° 12′ NB, 4° 52′ OL"
2147,Montfoort,Utrecht,West-Nederland           ,Montfoort                          ,52.03333333333333,4.95,13889,"52° 2′ NB, 4° 57′ OL"
2148,Nieuwegein,Utrecht,West-Nederland           ,Nieuwegein                         ,52.03111111111111,5.091944444444444,63690,"52°1'52""NB, 5°5'31""OL"
2149,Nieuwer Ter Aa,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.18333333333333,4.983333333333333,720,"52° 11′ NB, 4° 59′ OL"
2150,Nieuwersluis,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.2,5.0,485,"52° 12′ NB, 5° 0′ OL"
2151,Nieuwland,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.9,5.016666666666667,1025,"51° 54′ NB, 5° 1′ OL"
2152,Nigtevecht,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.266666666666666,5.033333333333333,1565,"52° 16′ NB, 5° 2′ OL"
2153,Odijk,Utrecht,West-Nederland           ,Bunnik                             ,52.05,5.233333333333333,5665,"52° 3′ NB, 5° 14′ OL"
2154,Oosterwijk,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.88333333333333,5.083333333333333,220,"51° 53′ NB, 5° 5′ OL"
2156,Oud Zuilen,Utrecht,West-Nederland           ,Stichtse Vecht                     ,52.13333333333333,5.066666666666666,615,"52° 8′ NB, 5° 4′ OL"
2157,Oudewater,Utrecht,West-Nederland           ,Oudewater                          ,52.026944444444446,4.86888888888889,10178,"52°1'37""NB, 4°52'8""OL"
2158,Overberg,Utrecht,West-Nederland           ,Utrechtse Heuvelrug                ,52.03333333333333,5.5,1545,"52° 2′ NB, 5° 30′ OL"
2159,Papekop,Utrecht,West-Nederland           ,Oudewater                          ,52.05,4.85,385,"52° 3′ NB, 4° 51′ OL"
2160,Polsbroek,Utrecht,West-Nederland           ,Lopik                              ,51.983333333333334,4.85,6915,"51° 59′ NB, 4° 51′ OL"
2161,Renswoude,Utrecht,West-Nederland           ,Renswoude                          ,52.073888888888895,5.541111111111111,5517,"52°4'26""NB, 5°32'28""OL"
2162,Rhenen,Utrecht,West-Nederland           ,Rhenen                             ,51.95,5.566666666666666,20086,"51° 57′ NB, 5° 34′ OL"
2163,Schalkwijk,Utrecht,West-Nederland           ,Houten                             ,52.0,5.183333333333334,2005,"51° 60′ NB, 5° 11′ OL"
2164,Schoonrewoerd,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.916666666666664,5.116666666666666,1635,"51° 55′ NB, 5° 7′ OL"
2165,Snelrewaard,Utrecht,West-Nederland           ,Oudewater                          ,52.03333333333333,4.916666666666667,800,"52° 2′ NB, 4° 55′ OL"
2166,Soest,Utrecht,West-Nederland           ,Soest                              ,52.18333333333333,5.283333333333333,46842,"52°11'NB, 5°17'OL"
2167,Soesterberg,Utrecht,West-Nederland           ,Soest                              ,52.11666666666667,5.283333333333333,6660,"52° 7′ NB, 5° 17′ OL"
2168,Stoutenburg,Utrecht,West-Nederland           ,Leusden                            ,52.15,5.433333333333334,375,"52° 9′ NB, 5° 26′ OL"
2169,Stoutenburg Noord,Utrecht,West-Nederland           ,Amersfoort                         ,52.15,5.466666666666667,240,"52° 9′ NB, 5° 28′ OL"
2171,Tienhoven aan de Lek,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,51.96666666666667,4.95,795,"51° 58′ NB, 4° 57′ OL"
2172,Tull en 't Waal,Utrecht,West-Nederland           ,Houten                             ,52.0,5.133333333333334,685,"52° 0′ NB, 5° 8′ OL"
2173,Utrecht,Utrecht,West-Nederland           ,Utrecht                            ,52.083333333333336,5.116666666666666,357667,"52° 5′ NB, 05° 7′ OL"
2174,Veenendaal,Utrecht,West-Nederland           ,Veenendaal                         ,52.016666666666666,5.55,66918,"52°1'NB, 5°33'OL"
2175,Vianen,Utrecht,West-Nederland           ,Vijfheerenlanden                   ,52.0,5.1,16360,"52° 0′ NB, 5° 6′ OL"
